CNTY_NM,Longitude,Latitude,FIPS,max_wind_speed(knots),hurricane_count,burned_area(km*km),wildfire_count
Harrison,-94.37155736,32.54814898,48203,45,11,248.45,12
Hartley,-102.6028835,35.83996755,48205,0,0,81.46,13
Haskell,-99.73029401,33.17824805,48207,25,2,2.79,3
Hays,-98.03104087,30.05782657,48209,42,6,38.59,10
Hemphill,-100.2704628,35.83750155,48211,37,1,161.85,13
Henderson,-95.85356847,32.21188078,48213,50,3,126.69,10
Hidalgo,-98.18088681,26.396627,48215,100,9,126.26,7
Hill,-97.1324142,31.99079033,48217,35,7,67.53,10
Hockley,-102.3430919,33.60750375,48219,20,1,483.19,13
Hood,-97.83280338,32.43107878,48221,32,6,44.37,7
Hopkins,-95.56414173,33.14933822,48223,42,3,282.75,12
Houston,-95.42225367,31.31764137,48225,67,10,51.88,12
Howard,-101.4355097,32.30610232,48227,25,2,11.79,3
Hudspeth,-105.3869428,31.45613738,48229,0,0,3,2
Hunt,-96.08550014,33.123531,48231,20,2,565.93,12
Hutchinson,-101.3547257,35.84000866,48233,0,0,69.46,13
Irion,-100.9824126,31.30393203,48235,25,2,0.43,1
Jack,-98.1725509,33.23345819,48237,27,6,177.93,5
Jackson,-96.57883268,28.95603133,48239,105,10,47.8,8
Jasper,-94.02495849,30.74391255,48241,89,13,14.15,4
Jeff Davis,-104.1403539,30.71559322,48243,30,1,5.57,4
Jefferson,-94.1708778,29.88425832,48245,100,15,30.44,9
Jim Hogg,-98.6972921,27.04340499,48247,85,7,146.83,11
Jim Wells,-98.0898649,27.73131099,48249,90,12,98.61,10
Johnson,-97.36660504,32.37899918,48251,32,7,11.79,4
Jones,-99.87850599,32.73970429,48253,25,2,123.69,7
Karnes,-97.85960621,28.90493782,48255,85,10,60.45,9
Kaufman,-96.28779341,32.59927808,48257,20,2,565.93,12
Kendall,-98.71160511,29.9446397,48259,40,4,35.59,6
Kenedy,-97.68137783,26.92409448,48261,120,9,65.38,11
Kent,-100.7791031,33.18284492,48263,25,2,16.94,3
Kerr,-99.35016969,30.06153035,48265,35,3,115.54,8
Kimble,-99.74892716,30.48676251,48267,35,3,142.34,10
King,-100.2558584,33.61641863,48269,25,2,138.7,6
Kinney,-100.4178441,29.35000302,48271,37,6,9.43,3
Kleberg,-97.72889778,27.43274395,48273,115,12,38.16,9
Knox,-99.74144313,33.60614755,48275,25,2,165.06,4
La Salle,-99.1034773,28.34621032,48283,65,8,119.4,12
Lamar,-95.57110784,33.66746186,48277,35,2,188,12
Lamb,-102.3517095,34.06861242,48279,0,0,328.63,13
Lampasas,-98.24142711,31.19627791,48281,30,3,90.89,10
Lavaca,-96.93020993,29.38437003,48285,85,6,47.38,10
Lee,-96.96568735,30.31065065,48287,40,8,102.25,11
Leon,-95.99554292,31.29655719,48289,67,10,24.44,8
Liberty,-94.8120925,30.15153187,48291,95,19,86.82,10
Limestone,-96.58056718,31.54541898,48293,37,9,69.03,10
Lipscomb,-100.27317,36.27778432,48295,20,1,140.84,11
Live Oak,-98.12474493,28.3514375,48297,85,12,98.61,10
Llano,-98.68387398,30.70566579,48299,35,2,108.9,9
Loving,-103.5799063,31.84912973,48301,0,0,71.6,9
Lubbock,-101.8205745,33.6101944,48303,20,1,476.33,13
Lynn,-101.8160235,33.17685487,48305,20,1,476.33,9
Madison,-95.92818441,30.96564645,48313,85,12,19.94,8
Marion,-94.35725239,32.79797929,48315,42,10,248.45,13
Martin,-101.9512464,32.30605847,48317,20,1,98.18,5
Mason,-99.2263026,30.71742293,48319,35,3,45.23,10
Matagorda,-95.98533866,28.86711039,48321,100,14,28.73,9
Maverick,-100.3144638,28.74260943,48323,52,7,34.51,7
McCulloch,-99.34754972,31.19896752,48307,30,1,45.23,9
McLennan,-97.20184883,31.55234489,48309,35,7,58.09,12
McMullen,-98.56842256,28.35351091,48311,50,10,119.4,12
Medina,-99.11008331,29.35520493,48325,45,7,101.4,3
Menard,-99.82061472,30.88981785,48327,30,3,44.37,12
Midland,-102.0315032,31.86921148,48329,32,2,98.18,11
Milam,-96.97683495,30.78625299,48331,37,8,102.25,10
Mills,-98.59552736,31.49524259,48333,27,3,66.03,11
Mitchell,-100.9211128,32.30636024,48335,25,2,6.43,5
Montague,-97.72466993,33.67496328,48337,27,5,243.31,6
Montgomery,-95.50301411,30.30022409,48339,91,14,34.94,7
Moore,-101.8929556,35.83768863,48341,0,0,48.02,13
Morris,-94.73205137,33.11368507,48343,42,8,110.61,13
Motley,-100.7798961,34.07409017,48345,25,1,391.01,12
Nacogdoches,-94.6158776,31.61604108,48347,67,9,81.25,8
Navarro,-96.47248134,32.04695429,48349,35,7,69.03,11
Newton,-93.74462993,30.78619977,48351,89,12,33.87,8
Nolan,-100.4060989,32.3034718,48353,25,2,31.94,5
Nueces,-97.61767326,27.72621549,48355,115,11,47.16,9
Ochiltree,-100.815653,36.27846334,48357,0,0,97.11,12
Oldham,-102.6029949,35.40497586,48359,0,0,185.86,13
Orange,-93.89653794,30.12807126,48361,100,13,30.44,6
Palo Pinto,-98.31299522,32.75316856,48363,30,6,177.93,8
Panola,-94.30552858,32.16222886,48365,45,11,162.06,11
Parker,-97.80472194,32.77852261,48367,30,6,177.93,7
Parmer,-102.784594,34.53014507,48369,0,0,218.44,11
Pecos,-102.7235743,30.78100044,48371,25,1,67.31,5
Polk,-94.82994949,30.79250963,48373,85,13,93.25,10
Potter,-101.8940484,35.40128927,48375,0,0,88.11,13
Presidio,-104.2405552,29.99977786,48377,32,2,50.81,7
Rains,-95.79347545,32.87004212,48379,42,2,565.93,13
Randall,-101.8968527,34.96594288,48381,0,0,99.47,14
Reagan,-101.5230108,31.36617698,48383,25,2,77.82,9
Real,-99.82215881,29.83182711,48385,35,6,142.34,6
Red River,-95.0501886,33.62074539,48387,35,5,232.38,14
Reeves,-103.693143,31.32307061,48389,0,0,59.17,10
Refugio,-97.16546961,28.32681413,48391,115,10,146.63,8
Roberts,-100.8135689,35.8385577,48393,0,0,130.98,13
Robertson,-96.51272568,31.02705415,48395,42,10,22.08,7
Rockwall,-96.40780584,32.89786769,48397,20,2,565.93,11
Runnels,-99.97624799,31.83105393,48399,27,2,30.23,5
Rusk,-94.76169577,32.10803224,48401,50,8,81.25,9
Sabine,-93.85170439,31.34321941,48403,65,12,33.87,7
San Augustine,-94.16809762,31.39427005,48405,65,11,40.73,8
San Jacinto,-95.16683273,30.57948905,48407,91,13,93.25,11
San Patricio,-97.51859857,28.00922186,48409,115,11,81.03,6
San Saba,-98.81754295,31.15520543,48411,30,2,108.9,12
Schleicher,-100.538097,30.89661056,48413,25,2,49.09,9
Scurry,-100.9165071,32.74720063,48415,25,2,6.43,3
